,team_name,team_id,logo_url
0,Benevento,506,https://media.api-sports.io/football/teams/506.png
1,Inter,505,https://media.api-sports.io/football/teams/505.png
2,Fiorentina,502,https://media.api-sports.io/football/teams/502.png
3,Torino,503,https://media.api-sports.io/football/teams/503.png
4,Genoa,495,https://media.api-sports.io/football/teams/495.png
5,Crotone,501,https://media.api-sports.io/football/teams/501.png
6,Juventus,496,https://media.api-sports.io/football/teams/496.png
7,Sampdoria,498,https://media.api-sports.io/football/teams/498.png
8,Lazio,487,https://media.api-sports.io/football/teams/487.png
9,Atalanta,499,https://media.api-sports.io/football/teams/499.png
10,AC Milan,489,https://media.api-sports.io/football/teams/489.png
11,Bologna,500,https://media.api-sports.io/football/teams/500.png
12,Parma,523,https://media.api-sports.io/football/teams/523.png
13,Napoli,492,https://media.api-sports.io/football/teams/492.png
14,Sassuolo,488,https://media.api-sports.io/football/teams/488.png
15,Cagliari,490,https://media.api-sports.io/football/teams/490.png
16,Udinese,494,https://media.api-sports.io/football/teams/494.png
17,Spezia,515,https://media.api-sports.io/football/teams/515.png
18,Verona,504,https://media.api-sports.io/football/teams/504.png
19,AS Roma,497,https://media.api-sports.io/football/teams/497.png
