team_name;total;OutOfBox;SixYardBox;PenaltyArea;Rating
Atalanta;710;239;54;417;6.93
Juventus;679;298;40;341;6.88
Inter;619;221;51;347;6.85
Lazio;580;194;23;363;6.84
AS Roma;644;260;48;336;6.80
AC Milan;619;272;33;314;6.79
Sassuolo;553;258;22;273;6.74
Napoli;688;304;41;343;6.73
Torino;446;169;30;247;6.70
Parma;464;197;27;240;6.67
Fiorentina;549;204;33;312;6.67
Verona;444;147;40;257;6.66
Udinese;469;189;30;250;6.64
Cagliari;444;207;33;204;6.62
Bologna;555;240;45;270;6.61
Sampdoria;561;245;20;296;6.60
Lecce;528;227;34;267;6.55
Genoa;435;180;27;228;6.54
Brescia;418;166;32;220;6.48
Spal;469;206;20;243;6.48
